Title, Prime Score, Rotten Tomatoes Score, IMDb Score, OnionPlay Link, Genre List, My Score, IMDb Summary, Awards, Must Watch 
The Wizard of Oz,4.8,8.9,8.1,https://onionplay.se/movies/the-wizard-of-oz-1939/ ,Musical Fantasy,8.5,Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard` who can return her to her home and fulfill the others' wishes.,Academy Award for Best Music,True
Fantasia 2000,4.5,7.5,7.1,No Link,Musical Fantasy Animation,9,An update of the original film with new interpretations of great works of classical music.,Vision Award for Theatrical Motion Pictures,True
Singin' in the Rain,4.8,9.5,8.3,https://onionplay.se/movies/singin-in-the-rain-1952/ , Musical Classic Rom-Com,7.2,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,NBR Award + Photoplay Award + Inducted into: OFTA Film Hall of Fame and National Film Registry,False
The Good` The Bad` & The Ugly,4.8,9.7,8.8,https://onionplay.se/movies/the-good-the-bad-and-the-ugly-1966/ ,Western Action Drama,5.3,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Inducted into: OFTA Film Hall of Fame,False
Willy Wonka & the Chocolate Factory,4.8,8.7,7.8,https://onionplay.se/movies/willy-wonka-the-chocolate-factory-1971/ ,Musical Fantasy Comedy,8.7,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Inducted into: OFTA Film Hall of Fame and National Film Registry,True
The Texas Chainsaw Massacre,4.4,8.2,7.4,https://onionplay.se/movies/the-texas-chain-saw-massacre-1974/ ,Horror Thriller Slasher Suspense,3.5,Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house` only to discover something sinister within. Something armed with a chainsaw.,Inducted into: OFTA Film Hall of Fame and National Film Registry,False
Star Wars: A New Hope,4.7,9.6,8.6,https://onionplay.se/movies/star-wars-1977/ ,Sci-Fi Fantasy Action,8.8,Luke Skywalker joins forces with a Jedi Knight` a cocky pilot` a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station` while also attempting to rescue Princess Leia from the mysterious Darth Vader.,Saturn Award for Best Science Fiction Film + BAFTA Film Award + Golden Screen + Award of the Japanese Academy + LAFCA Award + NBR Award + People's Choice Award + Photoplay Gold Medal + Science Fiction and Fantasy Writers of America Special Award + Inducted into: National Film Registry,False
Alien,4.7,9.4,8.5,https://onionplay.se/movies/alien-1979/ ,Horror Suspense Sci-Fi Thriller,7.7,After investigating a mysterious transmission of unknown origin` the crew of a commercial spacecraft encounters a deadly lifeform.,Saturn Award for Best Science Fiction Film + 2 Silver Seashell Awards + Inducted into: OFTA Film Hall of Fame and National Film Registry,True
Star Wars: The Empire Strikes Back,4.8,9.7,8.7,https://onionplay.se/movies/the-empire-strikes-back-1980/ ,Sci-Fi Action Fantasy Drama,8.9,After the Empire overpowers the Rebel Alliance` Luke Skywalker begins training with Jedi Master Yoda` while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.,Saturn Award for Best Science Fiction Film + Golden Screen + People's Choice Award + Inducted into: OFTA Film Hall of Fame and National Film Registry,True
The Shining,4.7,9.3,8.4,https://onionplay.se/movies/the-shining-1980/ ,Psychological Suspense Classic Horror,7.5,A family heads to an isolated hotel for the winter` where a sinister presence influences the father into violence. At the same time` his psychic son sees horrifying forebodings from both the past and the future.,Saturn Award for Best Horror Film + Inducted into: OFTA Film Hall of Fame and National Film Registry,True
Raiders of the Lost Ark,4.8,9.6,8.4,https://onionplay.se/movies/raiders-of-the-lost-ark-1981/ ,Action Adventure Comedy Mystery,8,In 1936` archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.,Saturn Award for Best Fantasy Film + BAFTA Film Award + KCFCC Award + NBR Award + Golden Reel Award + People's Choice Award + VSDA Award + Young Artist Award + 2 American Movie Awards + Telegatto Award + Inducted into: OFTA Film Hall of Fame and National Film Registry,True
